Code,Entity,Total_Deaths,Total_Cases,Population,Continent,Death_per_mill,Population_Density,Cases_per_mill,Cumulative_Pos_Rate,Total_Tests,GDP_Per_Cap,Resp_Death_Rate,Median_Age,Contact_Tracing,INT_Travel_Controls,Physicians_Per_1000_ppl,Percent_Urbanization,Life_Expectancy,HC_Expenditure_Per_Capita,Stay_Home_Req,Gathering_Restrictions,Internal_Movement_Restrict,Tests_per_mill
GAB,Gabon,139,23075,2225728,Africa,62.451,7.85942096479994,10367.394,-1,-1,16562,33.57260027807698,23.1,0.7389473684210527,0.8631578947368421,0.406,88.559,66.467,599,0.8315789473684211,0.47368421052631576,0.7894736842105263,-1
GMB,Gambia,174,5898,2416664,Africa,72.0,207.566007905138,2440.554,9.4,59489,1562,47.46922076420379,17.5,0.6631578947368421,0.4421052631578947,0.107,59.918,62.05,118,0.14105263157894737,0.6063157894736843,0.0,0.024616165093699415
GEO,Georgia,4110,310310,3989175,Asia,1030.288,65.0320165156234,77788.014,7.3999999999999995,4156000,9745,29.777500773250708,38.700001,0.8838174273858921,0.7759336099585062,4.776,57.837,73.767,628,0.5124481327800829,0.5954356846473029,0.491701244813278,1.0418194238157013
DEU,Germany,83097,3405365,83783945,Europe,991.801,237.016337059329,40644.601,6.0,55421229,45229,21.336320169741633,46.599998,0.5338809034907598,0.8459958932238193,4.191,77.224,81.326,5182,0.39835728952772076,0.7535934291581109,0.4989733059548255,0.661477912027179
GHA,Ghana,779,92562,31072945,Africa,25.07,126.718946119364,2978.862,8.5,1087417,4228,32.971836226538336,21.1,0.8045738045738046,0.5040983606557377,0.096,54.749,64.074,145,0.040983606557377046,0.0,0.040983606557377046,0.0349956207884383
GRC,Greece,10381,345033,10423056,Europe,995.965,83.478828549263,33102.863,4.2,8079691,24574,19.80310480517515,45.299999,0.6855345911949685,0.8113207547169812,6.255,78.387,82.239,2098,0.49056603773584906,0.5303983228511531,0.549266247379455,0.7751748623436351
GTM,Guatemala,7524,227671,17915567,North America,419.97,157.834107876073,12707.999,18.0,1264471,7424,20.553860998976877,22.9,0.0,0.4149377593360996,0.355,50.319,74.302,473,0.4004149377593361,0.8008298755186722,0.43775933609958506,0.07057945751870426
GIN,Guinea,144,22215,13132792,Africa,10.965,51.7547452384828,1691.567,-1,-1,1999,58.07562842853392,19.0,0.3012295081967213,0.4539877300613497,0.075,35.46,61.602,68,0.8179959100204499,0.12883435582822086,0.7423312883435583,-1
GUY,Guyana,296,13283,786559,South America,376.323,3.95153162306325,16887.481,-1,-1,7435,20.559907134339426,26.299999,0.8545081967213115,0.610655737704918,0.214,26.482,69.906,379,0.7766393442622951,0.7827868852459017,0.5327868852459017,-1
HTI,Haiti,254,13056,11402533,North America,22.276,398.448076923077,1145.009,-1,-1,1653,55.22009332275641,24.299999,0.14736842105263157,0.2231578947368421,0.25,53.396,64.001,131,0.6421052631578947,0.25684210526315787,0.25894736842105265,-1
HND,Honduras,5281,212333,9904608,North America,533.186,82.8051389757798,21437.799,-1,-1,4542,36.74151369002763,24.9,0.0,0.5644171779141104,0.309,55.813,75.27,400,0.8469387755102041,0.8466257668711656,0.8466257668711656,-1
HUN,Hungary,27540,779348,9660350,Europe,2850.828,108.042936043301,80674.924,15.9,4922704,26778,27.234023660010337,43.400002,0.6172839506172839,0.8600823045267489,3.093,70.779,76.875,1827,0.4711934156378601,0.35390946502057613,0.07613168724279835,0.5095782243914558
ISL,Iceland,29,6472,341250,Europe,84.982,3.40432917705736,18965.568,1.9,350345,46483,18.869778021341528,37.299999,0.8586278586278586,0.811965811965812,3.791,93.735,82.993,3882,0.0,0.17463617463617465,0.0,1.0266520146520146
IND,India,211853,19164969,1380004385,Asia,153.516,450.418616704617,13887.615,6.6000000000000005,286392086,6427,146.6252380984442,28.200001,0.6872427983539094,0.8477366255144033,0.758,33.182,69.656,267,0.8333333333333334,0.7633744855967078,0.5637860082304527,0.2075298376678709
IDN,Indonesia,45521,1668368,273523621,Asia,166.424,145.725188096513,6099.539,17.0,9821421,11189,57.57947325490955,29.299999,0.13070539419087138,0.8609958506224067,0.201,53.989,71.716,299,0.5622406639004149,0.7987551867219918,0.3900414937759336,0.03590703049372105
IRN,Iran,71758,2499077,83992953,Asia,854.334,49.831029740416,29753.413,15.8,15693870,19083,24.896998909122058,32.400002,0.29098360655737704,0.6065573770491803,1.491,73.88,76.677,1082,0.3524590163934426,0.3442622950819672,0.8688524590163934,0.18684746088162896
IRQ,Iraq,15465,1065199,40222503,Asia,384.486,88.1253868115675,26482.663,11.4,9338101,15664,10.502924213335984,20.0,0.0,0.5663157894736842,0.854,70.094,70.604,667,0.5389473684210526,0.5557894736842105,0.5031578947368421,0.23216111140572232
IRL,Ireland,4903,248870,4937796,Europe,992.953,69.8738278414864,50401.029,5.6000000000000005,4494860,67335,29.024656708188164,38.700001,0.623721881390593,0.23721881390593047,2.961,62.737,82.305,3801,0.4867075664621677,0.6032719836400818,0.6196319018404908,0.9102968206868004
ISR,Israel,6363,838481,8655541,Asia,735.136,402.606284658041,96872.165,5.2,16137901,33132,14.640981267546916,30.6,0.6053169734151329,0.7709611451942741,3.576,92.256,82.972,2599,0.5276073619631901,0.3067484662576687,0.49897750511247446,1.8644589633392066
ITA,Italy,120807,4022653,60461828,Europe,1998.071,205.859169103148,66532.11,6.9,58579752,35220,15.18618978987511,47.900002,0.9382716049382716,0.911522633744856,4.021,69.855,83.512,3239,0.5370370370370371,0.565843621399177,0.602880658436214,0.9688716656069347
JAM,Jamaica,778,45578,2961161,North America,262.735,266.878947368421,15391.936,13.700000000000001,329778,8194,23.605213965807582,31.4,0.5123456790123457,0.27983539094650206,0.472,55.098,74.475,476,0.8271604938271605,0.24691358024691357,0.8415637860082305,0.11136780472253957
JPN,Japan,10199,593264,126476458,Asia,80.64,347.777586679833,4690.707,5.3,11219428,39002,11.40648927058926,48.200001,0.035269709543568464,0.8443983402489627,2.367,91.457,84.629,3727,0.0,0.0,0.0,0.08870763917186865
JOR,Jordan,8836,711373,10203140,Asia,866.008,109.285345798603,69720.988,10.6,6704884,8337,17.094031877507557,23.200001,0.3755186721991701,0.6203319502074689,3.426,90.506,74.526,798,0.6431535269709544,0.16597510373443983,0.4149377593360996,0.657139272812095
KAZ,Kazakhstan,3334,375539,18776707,Asia,177.56,6.6813520020743,20000.259,3.6999999999999997,10190393,24056,37.738647275921345,30.6,0.3783231083844581,0.9427402862985685,3.274,57.264,73.597,1068,0.43558282208588955,0.8404907975460123,0.6646216768916156,0.5427145984650024
KEN,Kenya,2707,158821,53771300,Africa,50.659,87.3244930948449,2962.882,9.6,1664435,2993,40.379183621362955,20.0,0.5212765957446809,0.2966804979253112,0.204,26.105,66.699,169,0.6887966804979253,0.27593360995850624,0.4004149377593361,0.030953966149228306
KWT,Kuwait,1563,273991,4270563,Asia,365.994,232.128395061728,64158.051,11.799999999999999,2326703,65531,7.962512753975936,33.700001,0.8630705394190872,0.4004149377593361,2.608,100.0,75.489,2320,0.37136929460580914,0.26556016597510373,0.33402489626556015,0.5448234811194683
KGZ,Kyrgyzstan,1604,95275,6524191,Asia,245.854,32.3331595411887,14603.343,-1,-1,3393,37.504850263573644,26.299999,0.14959016393442623,0.5737704918032787,1.854,35.944,71.45,215,0.39344262295081966,0.7561475409836066,0.42213114754098363,-1
LVA,Latvia,2131,118558,1886202,Europe,1129.784,31.2116436153104,62855.41,5.3,2245899,25064,9.918852062461974,43.900002,0.2648870636550308,0.3860369609856263,3.209,68.021,75.292,940,0.0,0.39014373716632444,0.0,1.1906990873724024
LBN,Lebanon,7278,526578,6825442,Asia,1066.305,594.560801564027,77149.289,-1,-1,13368,22.39537613681232,31.1,0.0,0.3394683026584867,2.38,88.266,78.93,987,0.6175869120654397,0.625,0.523517382413088,-1
LSO,Lesotho,316,10731,2142252,Africa,147.508,73.5618906455863,5009.215,-1,-1,2851,100.44390618635087,22.200001,0.0,0.6047008547008547,0.069,27.317,54.331,276,0.31196581196581197,0.31196581196581197,0.1047008547008547,-1
LBR,Liberia,85,2099,5057677,Africa,16.806,49.1269310631229,415.013,-1,-1,753,32.44988118200663,19.200001,0.23236514522821577,0.23858921161825727,0.023,50.254,64.104,98,0.3381742738589212,0.2551867219917012,0.3381742738589212,-1
LBY,Libya,3029,177508,6871287,Africa,440.82,3.62288780022051,25833.297,-1,-1,17882,31.40294372788387,29.0,0.0,0.7894736842105263,2.092,79.54,72.913,806,0.728421052631579,0.8294736842105264,0.8294736842105264,-1
LTU,Lithuania,3923,247269,2722291,Europe,1441.066,45.1352114924182,90831.215,8.6,2859711,29524,12.259929352359856,43.5,0.6331967213114754,0.23770491803278687,4.379,67.366,75.933,1718,0.2540983606557377,0.5799180327868853,0.23565573770491804,1.0504795409454757
LUX,Luxembourg,796,67205,625976,Europe,1271.614,231.44749034749,107360.346,2.5,2673129,94278,22.13042155591263,39.700001,0.8773006134969326,0.4948875255623722,2.921,90.46,82.25,6812,0.4498977505112474,0.4212678936605317,0.17586912065439672,4.270337840428387
MDG,Madagascar,643,37014,27691019,Africa,23.221,43.9513492609144,1336.679,20.1,184336,1416,71.33665865094537,19.6,0.0,0.8084210526315789,0.143,35.856,67.041,44,0.2863157894736842,0.0,0.8021052631578948,0.006656887563437084
MWI,Malawi,1148,34078,19129955,Africa,60.011,197.519134493,1781.395,15.0,225576,1095,36.91992537825495,18.1,0.7049180327868853,0.42650103519668736,0.019,16.506,64.263,93,0.10245901639344263,0.08418891170431211,0.0,0.011791768459465796
MYS,Malaysia,1506,408713,32365998,Asia,46.53,96.2540374372242,12627.851,4.3,9404236,26808,27.797832949456733,29.9,0.8957055214723927,0.852760736196319,1.533,74.84,76.156,1040,0.36809815950920244,0.3721881390593047,0.656441717791411,0.290559123188477
MLI,Mali,484,13858,20250834,Africa,23.9,15.1959776756079,684.317,-1,-1,2014,62.48264065718402,16.4,0.787321063394683,0.261758691206544,0.085,40.783,59.306,108,0.0,0.0,0.07566462167689161,-1
MLT,Malta,413,30292,441539,Europe,935.365,1454.0375,68605.491,3.5000000000000004,867282,36513,18.205306776813014,42.400002,0.950920245398773,0.8588957055214724,3.908,94.48,82.53,3072,0.1411042944785276,0.5807770961145194,0.2392638036809816,1.9642251307359033
MRT,Mauritania,455,18402,4649660,Africa,97.857,4.28852624429999,3957.709,7.1,254282,3598,34.26221194626119,20.299999,0.7289915966386554,0.3592436974789916,0.068,51.962,64.925,148,0.40336134453781514,0.23319327731092437,0.21638655462184875,0.05468829978966204
MUS,Mauritius,17,1209,1271767,Africa,13.367,622.962068965517,950.646,-1,-1,20293,34.86638442945653,37.400002,0.7402862985685071,0.5276073619631901,2.003,40.91,74.991,896,0.2331288343558282,0.11247443762781185,0.10633946830265849,-1
MEX,Mexico,216907,2344755,128932753,North America,1682.327,66.4437233467939,18185.876,37.8,6224308,17336,33.17282589130267,29.299999,0.24539877300613497,0.37014314928425357,2.231,79.577,75.054,1122,0.6748466257668712,0.0,0.8179959100204499,0.04827561542876541
MDA,Moldova,5812,250837,4033963,Europe,1440.767,123.654509353119,62181.284,-1,-1,5190,16.10744729069011,37.599998,0.5081632653061224,0.6,3.198,42.511,71.901,514,0.2163265306122449,0.6836734693877551,0.23469387755102042,-1
MNG,Mongolia,115,37285,3278292,Asia,35.079,1.97974136821236,11373.3,1.3,2697804,11841,21.330605877074767,28.6,0.8159509202453987,0.9468302658486708,3.262,68.297,69.87,565,0.31901840490797545,0.5623721881390593,0.6973415132924335,0.8229297451233752
MAR,Morocco,9023,511249,36910558,Africa,244.456,80.0797221599821,13851.023,8.9,5750626,7485,27.94189369341116,29.6,0.08506224066390042,0.8506224066390041,0.618,61.36,76.68,447,0.7489626556016598,0.26141078838174275,0.8278008298755186,0.1557989451148368
MOZ,Mozambique,814,69917,31255435,Africa,26.043,37.7283679645973,2236.955,13.5,518615,1136,40.48166800554807,17.700001,0.8346938775510204,0.18571428571428572,0.055,34.926,60.854,79,0.22448979591836735,0.0,0.27346938775510204,0.016592794181236
MMR,Myanmar,3209,142817,54409794,Asia,58.978,81.7213955411282,2624.84,-1,-1,5592,150.25825656484795,29.1,0.2905982905982906,0.7817047817047817,0.568,30.082,67.134,103,0.7837837837837838,0.4095634095634096,0.6361746361746362,-1
NAM,Namibia,642,48351,2540916,Africa,252.665,3.0776445723864,19028.964,12.5,388574,9542,51.47298970591852,22.0,0.841648590021692,0.2863247863247863,0.374,47.961,63.708,869,0.2863247863247863,0.0811965811965812,0.3504273504273504,0.1529267398056449
NPL,Nepal,3279,323187,29136808,Asia,112.538,204.429703522846,11092.052,12.8,2458565,2443,131.36838471635505,25.0,0.5296523517382413,0.5971370143149284,0.598,18.942,70.778,137,0.4171779141104294,0.3067484662576687,0.38650306748466257,0.08438003915871635
